Product,Brand,Category,Style,Volume(ml),Package,ABV,"Units of Alchole",Units_per(ml)
"Nomad Jet Leg IPA",Nomad,Beer,IPA,330,bottle,6,2,0.6
"Nomad Juicy As Fruit IPA",Nomad,Beer,IPA,330,can,4.5,1.5,0.45
"Nomad South Pacific Dream",Nomad,Beer,"Pale Ale",330,can,4,1.3,0.4
"North Brewing Herzog","North Brewing",Beer,Lager,330,can,5,1.7,0.5
"North Brewing Pinata","North Brewing",Beer,"Pale Ale",330,can,4.5,1.5,0.45
"North Brewing Sputnik","North Brewing",Beer,"Pale Ale",330,can,5,1.7,0.5
"North Brewing Transmission IPA","North Brewing",Beer,IPA,330,bottle,6.9,2.3,0.69
"Oakham Ales Inferno","Oakham Ales",Beer,Ale,500,bottle,4.6,2.3,0.46
"Old Blue Last","Old Blue Last",Beer,Lager,568,draught,5,2.8,0.5
"Old Blue Last","Old Blue Last",Beer,Lager,355,can,5,1.8,0.5
"Old Golden Hen",Morland,Beer,"Golden Ale",568,draught,4.1,2.3,0.41
"Old Hooky","Hook Norton Brewery",Beer,Bitter,568,draught,4.6,2.6,0.46
"Old Hooky","Hook Norton Brewery",Beer,Bitter,500,bottle,4.6,2.3,0.46
"Old Hoppy Hen",Morland,Beer,"Pale Ale",568,draught,4.8,2.7,0.48
"Old Mout Berries & Cherries","Old Mout",Cider,"Fruit Cider",500,bottle,4,2,0.4
"Old Mout Berries & Cherries 0%","Old Mout",Cider,"Fruit Cider",500,bottle,0,0,0
"Old Mout Kiwi & Lime","Old Mout",Cider,"Fruit Cider",500,bottle,4,2,0.4
"Old Mout Passion & Apple","Old Mout",Cider,"Fruit Cider",500,bottle,4,2,0.4
"Old Mout Strawberry & Pomegranate","Old Mout",Cider,"Fruit Cider",500,bottle,4,2,0.4
"Old Speckled Hen",Morland,Beer,Ale,568,draught,4.5,2.6,0.45
"Old Speckled Hen",Morland,Beer,Ale,500,bottle,5,2.5,0.5
"Old Speckled Hen",Morland,Beer,"Pale Ale",335,bottle,5,1.7,0.5
"Old Speckled Hen Gluten Free",Morland,Beer,Ale,500,bottle,5,2.5,0.5
"Olde English","Olde English",Cider,NULL,568,draught,4.5,2.6,0.45
"Open Gate Citra IPA","Open Gate",Beer,IPA,568,draught,5,2.8,0.5
"Open Gate Pilsner","Open Gate",Beer,Lager,568,draught,5,2.8,0.5
"Orchard Pig Charmer","Orchard Pig",Cider,NULL,500,bottle,6,3,0.6
"Orchard Pig Explorer","Orchard Pig",Cider,NULL,568,draught,4.5,2.6,0.45
"Orchard Pig Navelgazer","Orchard Pig",Cider,NULL,568,draught,6,3.4,0.6
"Orchard Pig Reveller","Orchard Pig",Cider,NULL,568,draught,4.5,2.6,0.45
"Orchard Pig Reveller","Orchard Pig",Cider,NULL,440,can,4.5,2,0.45
"Orchard Pig Reveller","Orchard Pig",Cider,NULL,500,bottle,4.5,2.3,0.45
"Orchard Pig The Hogfather","Orchard Pig",Cider,NULL,568,draught,7.4,4.2,0.74
"Orchard Pig Truffler","Orchard Pig",Cider,NULL,500,bottle,6,3,0.6
"Orchard Thieves","Orchard Thieves",Cider,NULL,568,draught,4.5,2.6,0.45
"Orchard Thieves","Orchard Thieves",Cider,NULL,330,can,4.5,1.5,0.45
"Orpens Fresh Pressed Apple Cider",Orpens,Cider,NULL,330,bottle,5.3,1.7,0.53
"Ossian Golden Ale","Inveralmond Brewery",Beer,"Golden Ale",568,draught,4.1,2.3,0.41
"Pabst Blue Ribbon Beer",Pabst,Beer,Lager,330,can,4.6,1.5,0.46
"Pabst Blue Ribbon Beer",Pabst,Beer,Lager,355,can,4.6,1.6,0.46
"Pacifico Clara",Pacifico,Beer,Lager,355,bottle,4.5,1.6,0.45
Palax,Palax,Beer,Lager,568,draught,4.9,2.8,0.49
Palax,Palax,Beer,Lager,330,bottle,4.9,1.6,0.49
"Palma Cristal","Palma Cristal",Beer,Lager,350,bottle,4.9,1.7,0.49
"Paxton IPA","The London Beer Factory",Beer,IPA,568,draught,5.5,3.1,0.55
"Paxton IPA","The London Beer Factory",Beer,IPA,330,can,5.5,1.8,0.55
"Peroni Ambra",Peroni,Beer,Lager,250,bottle,6,1.5,0.6
"Peroni Gran Riserva",Peroni,Beer,Lager,330,bottle,6.6,2.2,0.66
"Peroni Nastro Azzurro",Peroni,Beer,Lager,568,draught,5.1,2.9,0.51
"Peroni Nastro Azzurro",Peroni,Beer,Lager,330,bottle,5.1,1.7,0.51
"Peroni Nastro Azzurro",Peroni,Beer,Lager,660,bottle,5.1,3.4,0.51
"Peroni Nastro Azzurro (Gluten Free)",Peroni,Beer,Lager,330,bottle,5.1,1.7,0.51
"Peroni Nastro Azzurro Piccola",Peroni,Beer,Lager,250,bottle,5.1,1.3,0.51
"Peroni Red",Peroni,Beer,Lager,330,bottle,4.7,1.6,0.47
"Pig & Porter Dance First","Pig & Porter",Beer,Porter,330,can,4.2,1.4,0.42
"Pig & Porter Gothic Imperial Stout","Pig & Porter",Beer,Porter,330,can,7.4,2.4,0.74
"Pig & Porter Red Spider Rye","Pig & Porter",Beer,"Rye Beer",330,can,4.8,1.6,0.48
"Pig & Porter Skylarking Session IPA","Pig & Porter",Beer,IPA,330,can,4,1.3,0.4
"Pilsner Urquell","Pilsner Urquell",Beer,Lager,568,draught,4.4,2.5,0.44
"Pilsner Urquell","Pilsner Urquell",Beer,Lager,330,bottle,4.4,1.5,0.44
"Pimm's Mango & Passion Fruit Cider Cup",Pimm's,Cider,"Fruit Cider",500,bottle,4,2,0.4
"Pimm's Plum & Red Apple Cider Cup",Pimm's,Cider,"Fruit Cider",500,bottle,4,2,0.4
"Pimm's Strawberry & Cucumber Cider Cup",Pimm's,Cider,"Fruit Cider",500,bottle,4,2,0.4
"Pimm's Summer Fruits Cider Cup",Pimm's,Cider,"Fruit Cider",500,bottle,4,2,0.4
"Pistonhead Kustom Lager",Pistonhead,Beer,Lager,330,can,4.6,1.5,0.46
"Point Amber Lager",Point,Beer,Lager,568,draught,4.7,2.7,0.47
"Point Amber Lager",Point,Beer,Lager,355,bottle,4.7,1.7,0.47
"Point Belgium White",Point,Beer,"Wheat Beer",355,bottle,5.4,1.9,0.54
"Point IPA",Point,Beer,IPA,355,bottle,5.6,2,0.56
"Point Pale Ale",Point,Beer,"Pale Ale",568,draught,5.4,3.1,0.54
"Point Pale Ale",Point,Beer,"Pale Ale",355,bottle,5.4,1.9,0.54
"Polar Monkeys Blue Collar Amber Lager","Polar Monkeys",Beer,Lager,568,draught,5,2.8,0.5
"Polar Monkeys Blue Collar Amber Lager","Polar Monkeys",Beer,Lager,330,bottle,5,1.7,0.5
"Polar Monkeys Chairman IPA","Polar Monkeys",Beer,IPA,568,draught,6,3.4,0.6
"Polar Monkeys Chairman IPA","Polar Monkeys",Beer,IPA,330,bottle,6,2,0.6
"Polar Monkeys White Collar Golden Ale","Polar Monkeys",Beer,"Golden Ale",330,bottle,5.5,1.8,0.55
"Port City Optimal Wit","Port City",Beer,"Wheat Beer",355,bottle,4.9,1.7,0.49
"Port City Porter","Port City",Beer,Porter,355,bottle,7.2,2.6,0.72
"Porterhouse Dublin Pale Ale",Porterhouse,Beer,"Pale Ale",568,draught,4.2,2.4,0.42
"Porterhouse Hop Head IPA",Porterhouse,Beer,IPA,568,draught,5,2.8,0.5
"Porterhouse Nitro Red Ale",Porterhouse,Beer,Ale,568,draught,4.2,2.4,0.42
"Portobello London Pilsner","Portobello Brewing Co",Beer,Lager,568,draught,4.6,2.6,0.46
"Portobello London Pilsner","Portobello Brewing Co",Beer,Lager,330,bottle,4.6,1.5,0.46
"Portobello London Pilsner","Portobello Brewing Co",Beer,Lager,330,can,4.6,1.5,0.46
"Portobello Westways Pale Ale","Portobello Brewing Co",Beer,"Pale Ale",330,bottle,4,1.3,0.4
Pravha,Pravha,Beer,Lager,568,draught,4,2.3,0.4
"Punk IPA",BrewDog,Beer,Beer,568,draught,5.4,3.1,0.54
Quilmes,Quilmes,Beer,Lager,340,bottle,4.9,1.7,0.49
"Red Stripe","Red Stripe",Beer,Lager,568,draught,4.7,2.7,0.47
"Red Stripe","Red Stripe",Beer,Lager,300,bottle,4.7,1.4,0.47
"Red Stripe","Red Stripe",Beer,Lager,330,bottle,4.7,1.6,0.47
"Red Stripe","Red Stripe",Beer,Lager,440,can,4.7,2.1,0.47
"Redchurch Bethnal Pale Ale",Redchurch,Beer,Ale,568,draught,5.5,3.1,0.55
"Redchurch Bethnal Pale Ale",Redchurch,Beer,"Pale Ale",330,bottle,5.5,1.8,0.55
"Redchurch Great Eastern IPA",Redchurch,Beer,IPA,568,draught,7.4,4.2,0.74
"Redchurch Great Eastern IPA",Redchurch,Beer,IPA,330,bottle,7.4,2.4,0.74
"Redchurch Hoxton Stout",Redchurch,Beer,Stout,568,draught,5,2.8,0.5
"Redchurch Hoxton Stout",Redchurch,Beer,Stout,330,bottle,5,1.7,0.5
"Redchurch Lager",Redchurch,Beer,Lager,568,draught,4.7,2.7,0.47
"Redchurch Lager",Redchurch,Beer,Lager,330,bottle,4.7,1.6,0.47
"Redchurch Old Ford Export Stout",Redchurch,Beer,Lager,568,draught,7.5,4.3,0.75
"Redchurch Old Ford Export Stout",Redchurch,Beer,Lager,330,bottle,7.5,2.5,0.75
"Redchurch Paradise Pale Ale",Redchurch,Beer,"Pale Ale",568,draught,3.7,2.1,0.37
"Redchurch Paradise Pale Ale",Redchurch,Beer,"Pale Ale",330,bottle,3.7,1.2,0.37
"Redchurch Shoreditch Blonde",Redchurch,Beer,Lager,568,draught,4.5,2.6,0.45
"Redchurch Shoreditch Blonde",Redchurch,Beer,Lager,330,bottle,4.5,1.5,0.45
"Rekorderlig Apple Cider",Rekorderlig,Cider,NULL,500,bottle,4.5,2.3,0.45
"Rekorderlig Botanicals Grapefruit & Rosemary",Rekorderlig,Cider,"Fruit Cider",330,bottle,4,1.3,0.4
"Rekorderlig Botanicals Peach & Basil",Rekorderlig,Cider,"Fruit Cider",330,bottle,4,1.3,0.4
"Rekorderlig Botanicals Rhubarb, Lemon & Mint",Rekorderlig,Cider,"Fruit Cider",330,bottle,4,1.3,0.4
"Rekorderlig Dry Apple Cider",Rekorderlig,Cider,NULL,568,draught,5,2.8,0.5
"Rekorderlig Mango & Raspberry",Rekorderlig,Cider,"Fruit Cider",330,can,4.5,1.5,0.45
"Rekorderlig Mango & Raspberry",Rekorderlig,Cider,"Fruit Cider",500,bottle,4,2,0.4
"Rekorderlig Passion Fruit",Rekorderlig,Cider,"Fruit Cider",568,draught,4,2.3,0.4
"Rekorderlig Passion Fruit",Rekorderlig,Cider,"Fruit Cider",500,bottle,4,2,0.4
"Rekorderlig Pear Cider",Rekorderlig,Cider,Perry,500,bottle,4.5,2.3,0.45
"Rekorderlig Spiced Plum",Rekorderlig,Cider,"Fruit Cider",500,bottle,4,2,0.4
"Rekorderlig Strawberry & Lime",Rekorderlig,Cider,"Fruit Cider",568,draught,4,2.3,0.4
"Rekorderlig Strawberry & Lime",Rekorderlig,Cider,"Fruit Cider",330,can,4,1.3,0.4
"Rekorderlig Strawberry & Lime",Rekorderlig,Cider,"Fruit Cider",500,bottle,4,2,0.4
"Rekorderlig Strawberry & Lime Low Alcohol",Rekorderlig,Cider,"Fruit Cider",500,bottle,0.2,0.1,0.02
"Rekorderlig Wild Berries",Rekorderlig,Cider,"Fruit Cider",330,can,4,1.3,0.4
"Rekorderlig Wild Berries",Rekorderlig,Cider,"Fruit Cider",500,bottle,4,2,0.4
"Revisionist Craft Lager",Revisionist,Beer,Lager,568,draught,4,2.3,0.4
Riggwelter,"Black Sheep",Beer,Ale,568,draught,5.9,3.4,0.59
"Ringwood Fortyniner",Ringwood,Beer,"Golden Ale",568,draught,4.9,2.8,0.49
"Rocking Rudolph","Hardys & Hansons",Beer,NULL,568,draught,4.2,2.4,0.42
"Rothhammer Golden Ale",Rothhammer,Beer,"Golden Ale",568,draught,5.5,3.1,0.55
"Rothhammer Nazca IPA",Rothhammer,Beer,IPA,568,draught,4.7,2.7,0.47
"Rothhammer Red Ale",Rothhammer,Beer,"Red Ale",568,draught,4.5,2.6,0.45
"Rothhammer Stratus lager",Rothhammer,Beer,Lager,568,draught,4.2,2.4,0.42
"Rothhammer Stratus Lager",Rothhammer,Beer,Lager,350,bottle,4.2,1.5,0.42
"Ruck & Roll","St Austell",Beer,Ale,568,draught,4,2.3,0.4
"Ruddles Best",Ruddles,Beer,Bitter,568,draught,3.7,2.1,0.37
"Rudolph's Reward","No. 18 Yard Brewhouse",Beer,"Light Ale",568,draught,3.7,2.1,0.37
"Sadler's Peaky Blinder Craft Lager","Sadler's Peaky Blinder",Beer,Lager,568,draught,4.1,2.3,0.41
"Sadler's Peaky Blinder Lager","Sadler's Peaky Blinder",Beer,Lager,330,bottle,4.1,1.4,0.41
"Sadler's Peaky Blinder Pale Ale","Sadler's Peaky Blinder",Beer,"Pale Ale",500,bottle,4.4,2.2,0.44
Sagres,Sagres,Beer,Lager,568,draught,5,2.8,0.5
"Saint Lager",Saint,Beer,Lager,330,bottle,4.6,1.5,0.46
Salitos,Salitos,Beer,Lager,330,bottle,5.9,1.9,0.59
"Samuel Adams Boston Lager","Samuel Adams",Beer,Lager,568,draught,4.8,2.7,0.48
"Samuel Adams Boston Lager","Samuel Adams",Beer,Lager,330,bottle,4.8,1.6,0.48
"San Miguel","San Miguel",Beer,Lager,568,draught,5,2.8,0.5
"San Miguel","San Miguel",Beer,Lager,330,bottle,5,1.7,0.5
"San Miguel Fresca","San Miguel",Beer,Lager,330,bottle,4.4,1.5,0.44
"Sandford Orchards Berry Lane Cider","Sandford Orchards",Cider,"Fruit Cider",500,bottle,4,2,0.4
"Sandford Orchards Devon Mist","Sandford Orchards",Cider,NULL,568,draught,4.5,2.6,0.45
"Sandford Orchards Devon Mist","Sandford Orchards",Cider,NULL,500,bottle,4.5,2.3,0.45
"Sandford Orchards Devon Red","Sandford Orchards",Cider,NULL,568,draught,4.5,2.6,0.45
"Sandford Orchards Devon Red","Sandford Orchards",Cider,NULL,330,can,4.5,1.5,0.45
"Sandford Orchards Devon Red","Sandford Orchards",Cider,NULL,500,bottle,4.5,2.3,0.45
"Sandford Orchards Old Blossom","Sandford Orchards",Cider,NULL,500,bottle,4,2,0.4
"Sandford Orchards St Louis Dry Hopped","Sandford Orchards",Cider,NULL,330,bottle,5.5,1.8,0.55
"Sassy Cidre L���im","Sassy Cidre",Cider,NULL,330,bottle,5.2,1.7,0.52
"Sassy Cidre Rose","Sassy Cidre",Cider,NULL,330,bottle,3,1,0.3
"Savanna Dry Cider",Savanna,Cider,NULL,330,bottle,5,1.7,0.5
"Sayers Stout","The London Beer Factory",Beer,Stout,330,bottle,4.5,1.5,0.45
"Seven Bro7hers EPA","Seven Bro7hers",Beer,"Pale Ale",330,bottle,4.8,1.6,0.48
"Seven Bro7hers IPA","Seven Bro7hers",Beer,IPA,568,draught,5,2.8,0.5
"Seven Bro7hers IPA","Seven Bro7hers",Beer,IPA,330,can,5,1.7,0.5
"Seven Giraffes","Williams Bros. Brewing Co.",Beer,IPA,500,bottle,5.1,2.6,0.51
"Sharp's Atlantic Pale Ale",Sharp's,Beer,Beer,568,draught,4.2,2.4,0.42
"Sharps 6 Vintage Blend",Sharps,Beer,Ale,330,bottle,7.4,2.4,0.74
"Sharps Cornish Pilsner",Sharps,Beer,Lager,568,draught,5.2,3,0.52
"Sharps Cornish Pilsner",Sharps,Beer,Lager,330,bottle,5.2,1.7,0.52
"Sharps Offshore Pilsner",Sharps,Beer,Lager,568,draught,4.8,2.7,0.48
"Sharps Offshore Pilsner",Sharps,Beer,Lager,330,can,4.8,1.6,0.48
"Sharps Orchard Cider",Sharps,Cider,NULL,568,draught,4.5,2.6,0.45
"Sharps Single Brew",Sharps,Beer,Lager,330,bottle,4.5,1.5,0.45
"Shed Head","Backyard Brew",Beer,Lager,568,draught,4.6,2.6,0.46
"Sheppy's 200 Special Edition Cider",Sheppy's,Cider,NULL,568,draught,5,2.8,0.5
"Sheppy's Classic Draught Cider",Sheppy's,Cider,NULL,568,draught,5.5,3.1,0.55
"Sheppy's Oakwood Cider",Sheppy's,Cider,NULL,568,draught,4.8,2.7,0.48
"Shipyard Pale Ale",Shipyard,Beer,Beer,568,draught,4.5,2.6,0.45
"Shipyard Rye Pale Ale",Shipyard,Beer,"Rye Beer",568,draught,4.3,2.4,0.43
"Shipyard Summer Ale",Shipyard,Beer,"Wheat Beer",568,draught,4.8,2.7,0.48
"Sierra Nevada California IPA","Sierra Nevada",Beer,IPA,568,draught,4.2,2.4,0.42
"Sierra Nevada California IPA","Sierra Nevada",Beer,IPA,355,can,4.2,1.5,0.42
"Sierra Nevada Pale Ale","Sierra Nevada",Beer,"Pale Ale",568,draught,5,2.8,0.5
"Sierra Nevada Pale Ale","Sierra Nevada",Beer,"Pale Ale",355,bottle,5.6,2,0.56
"Sierra Nevada Pale Ale","Sierra Nevada",Beer,"Pale Ale",355,can,5.6,2,0.56
"Sierra Nevada Porter","Sierra Nevada",Beer,Porter,355,bottle,5.6,2,0.56
"Sierra Nevada Torpedo Extra IPA","Sierra Nevada",Beer,IPA,355,bottle,7.2,2.6,0.72
"Sierra Nevada Tropical Torpedo","Sierra Nevada",Beer,IPA,355,bottle,6.7,2.4,0.67
Singha,Singha,Beer,Lager,330,bottle,5,1.7,0.5
"Siren Craft Brew Calypso","Siren Craft Brew",Beer,"Sour Beer",330,bottle,4,1.3,0.4
"Siren Craft Brew Soundwave","Siren Craft Brew",Beer,IPA,568,draught,5.6,3.2,0.56
"Siren Craft Brew Soundwave","Siren Craft Brew",Beer,IPA,330,bottle,5.6,1.8,0.56
"Siren Craft Brew Yu Lu","Siren Craft Brew",Beer,Ale,330,bottle,3.8,1.3,0.38
"Skinny Brands Lager","Skinny Brands",Beer,Lager,330,bottle,4,1.3,0.4
"Smirnoff Cider Mandarin & Pink Grapefruit",Smirnoff,Cider,"Fruit Cider",500,bottle,4,2,0.4
"Smirnoff Cider Passionfruit & Lime",Smirnoff,Cider,"Fruit Cider",330,bottle,4,1.3,0.4
"Smirnoff Cider Passionfruit & Lime",Smirnoff,Cider,"Fruit Cider",500,bottle,4,2,0.4
"Smirnoff Cider Raspberry & Pomegranate",Smirnoff,Cider,"Fruit Cider",330,bottle,4,1.3,0.4
"Smirnoff Cider Raspberry & Pomegranate",Smirnoff,Cider,"Fruit Cider",500,bottle,4,2,0.4
Sol,Sol,Beer,Lager,330,bottle,4.5,1.5,0.45
"Somersby Cider",Somersby,Cider,NULL,568,draught,4.5,2.6,0.45
"Somersby Cider",Somersby,Cider,NULL,500,bottle,4.5,2.3,0.45
"Somersby Strawberry & Rhubarb",Somersby,Cider,"Fruit Cider",568,draught,4,2.3,0.4
"Spaten Helles",Spaten,Beer,Lager,568,draught,5.2,3,0.52
Spindrift,Adnams,Beer,"Blonde Ale",568,draught,4,2.3,0.4
Spitfire,"Shepherd Neame",Beer,Ale,568,draught,4.2,2.4,0.42
"Spring Fever","St Austell",Beer,Ale,568,draught,4.1,2.3,0.41
"St Andrews Ale","Belhaven Brewery",Beer,"Amber Ale",568,draught,4.9,2.8,0.49
"St Austell Jolly Holly","St Austell",Beer,Ale,568,draught,4.5,2.6,0.45
"St Austell Liquid Sun","St Austell",Beer,"Golden Ale",568,draught,3.9,2.2,0.39
"St Austell Proper Job","St Austell",Beer,IPA,568,draught,4.5,2.6,0.45
"St Austell Tribute","St Austell",Beer,Ale,568,draught,4.2,2.4,0.42
"St George and the Dragon",Wadworth,Beer,Ale,568,draught,4.5,2.6,0.45
"St Stefanus Blonde","St Stefanus",Beer,"Abbey Beer",568,draught,7,4,0.7
"St Stefanus Blonde","St Stefanus",Beer,"Abbey Beer",330,bottle,7,2.3,0.7
Staropramen,Staropramen,Beer,Lager,568,draught,5,2.8,0.5
Staropramen,Staropramen,Beer,Lager,330,bottle,5,1.7,0.5
"Stella Artois","Stella Artois",Beer,Lager,568,draught,4.8,2.7,0.48
"Stella Artois","Stella Artois",Beer,Lager,330,bottle,4.8,1.6,0.48
"Stella Artois","Stella Artois",Beer,Lager,440,can,4.8,2.1,0.48
"Stella Artois 4%","Stella Artois",Beer,Lager,568,draught,4,2.3,0.4
"Stella Artois Black","Stella Artois",Beer,Lager,568,draught,4.9,2.8,0.49
"Stella Artois Cidre Apple","Stella Artois",Cider,NULL,500,bottle,4.5,2.3,0.45
"Stella Artois Cidre Peach","Stella Artois",Cider,"Fruit Cider",500,bottle,4,2,0.4
"Stella Artois Cidre Pear","Stella Artois",Cider,"Fruit Cider",568,bottle,4.5,2.6,0.45
"Stella Artois Cidre Raspberry","Stella Artois",Cider,"Fruit Cider",500,bottle,4,2,0.4
"Stella Artois Gluten Free","Stella Artois",Beer,Lager,330,bottle,4.8,1.6,0.48
"Stella Cidre","Stella Artois",Cider,NULL,568,draught,4.5,2.6,0.45
"Stewart Edinburgh Gold",Stewart,Beer,"Golden Ale",330,bottle,4.8,1.6,0.48
"Stewart Hollyrood Pale Ale",Stewart,Beer,"Pale Ale",330,bottle,5,1.7,0.5
"Stewart Ka Pai Hopped Pale Ale",Stewart,Beer,"Pale Ale",330,bottle,5.2,1.7,0.52
"Stone Go To IPA",Stone,Beer,IPA,568,draught,4.7,2.7,0.47
"Stone Go To IPA",Stone,Beer,IPA,330,can,4.7,1.6,0.47
"Stone IPA",Stone,Beer,IPA,330,can,6.9,2.3,0.69
"Stone White Ghost Berliner Weisse",Stone,Beer,"Wheat Beer",330,can,4.7,1.6,0.47
"Stowford Press","Stowford Press",Cider,NULL,500,bottle,4.5,2.3,0.45
"Stowford Press 0.5% Low Alcohol Cider","Stowford Press",Cider,NULL,330,bottle,0.5,0.2,0.05
"Stowford Press Draught Cider","Stowford Press",Cider,NULL,568,draught,4.5,2.6,0.45
"Stowford Press Mixed Berries","Stowford Press",Cider,"Fruit Cider",568,draught,4,2.3,0.4
Strongbow,Strongbow,Cider,NULL,568,draught,4.5,2.6,0.45
Strongbow,Strongbow,Cider,NULL,330,bottle,5,1.7,0.5
"Sxollie Golden Delicous Cider",Sxollie,Cider,NULL,330,bottle,4.5,1.5,0.45
"Sxollie Granny Smith Cider",Sxollie,Cider,NULL,330,bottle,4.5,1.5,0.45
"Symonds Founder's Reserve Cider",Symonds,Cider,NULL,568,draught,4.5,2.6,0.45
"Tailgate Peanut Butter Milk Stout",TailGate,Beer,Stout,355,can,5.8,2.1,0.58
"Tailgate South East IPA",TailGate,Beer,IPA,355,can,6.2,2.2,0.62
"Tartan Special",Younger's,Beer,Ale,568,draught,3.7,2.1,0.37
"Taunton Traditional Cider","Taunton Traditional Cider",Cider,NULL,568,draught,5.2,3,0.52
"Tennent's 80/- Ember",Tennent's,Beer,Bitter,568,draught,4.2,2.4,0.42
"Tennent's Lager",Tennent's,Beer,Lager,568,draught,4,2.3,0.4
"Tennent's Lager",Tennent's,Beer,Lager,500,can,4,2,0.4
"Tennent's Special",Tennent's,Beer,Bitter,500,can,3.5,1.8,0.35
"Tennent's Special 70/-",Tennent's,Beer,Bitter,568,draught,3.5,2,0.35
"Tetley Smoothflow Bitter",Tetley's,Beer,Bitter,568,draught,3.6,2,0.36
"Tetley's Dark Mild",Tetley's,Beer,Ale,568,draught,2.8,1.6,0.28
"Tetley's Mild",Tetley's,Beer,Ale,568,draught,3.2,1.8,0.32
"Tetley's Smoothflow Bitter",Tetley's,Beer,Bitter,568,draught,3.6,2,0.36
"Tetley's Traditional Bitter",Tetley's,Beer,Bitter,568,draught,3.7,2.1,0.37
"Thatchers Gold",Thatchers,Cider,NULL,568,draught,4.8,2.7,0.48
"Thatchers Gold",Thatchers,Cider,NULL,500,bottle,4.8,2.4,0.48
"Thatchers Green Goblin",Thatchers,Cider,NULL,500,bottle,5,2.5,0.5
"Thatchers Haze",Thatchers,Cider,NULL,568,draught,4.5,2.6,0.45
"Thatchers Haze",Thatchers,Cider,NULL,500,bottle,4.5,2.3,0.45
"Thatchers Katy",Thatchers,Cider,NULL,500,bottle,7.4,3.7,0.74
"Thatchers Old Rascal",Thatchers,Cider,NULL,568,draught,4.5,2.6,0.45
"Thatchers Old Rascal",Thatchers,Cider,NULL,500,bottle,4.5,2.3,0.45
"Thatchers Stan's Big Apple",Thatchers,Cider,NULL,568,draught,5,2.8,0.5
"Thatchers Stan's Cheddar Valley",Thatchers,Cider,NULL,568,draught,5,2.8,0.5
"Thatchers Stan's Trad",Thatchers,Cider,NULL,568,draught,6,3.4,0.6
"The Cotswold Cider Co BlowHorn","The Cotswold Cider Co",Cider,NULL,330,bottle,4,1.3,0.4
"The Cotswold Cider Co No Brainer","The Cotswold Cider Co",Cider,NULL,330,bottle,4.8,1.6,0.48
"The Cotswold Cider Co Side Burns","The Cotswold Cider Co",Cider,NULL,330,bottle,5.4,1.8,0.54
"The Cotswold Cider Co Sweet Cheeks","The Cotswold Cider Co",Cider,"Fruit Cider",330,bottle,4,1.3,0.4
"The Other Side of the Blond","Vic Ale",Beer,"Blonde Ale",330,bottle,5,1.7,0.5
"Theakstons Best Bitter",Theakstons,Beer,Bitter,568,draught,3.8,2.2,0.38
"Thistly Cross Cider","Thistly Cross Cider",Cider,NULL,500,bottle,6.2,3.1,0.62
"Thistly Cross Ginger","Thistly Cross Cider",Cider,NULL,330,bottle,4,1.3,0.4
"Thistly Cross Real Elderflower Cider","Thistly Cross Cider",Cider,NULL,330,bottle,4,1.3,0.4
"Thistly Cross Real Strawberry Cider","Thistly Cross Cider",Cider,"Fruit Cider",330,bottle,4,1.3,0.4
"Thistly Cross Traditional Cider","Thistly Cross Cider",Cider,NULL,568,draught,4.4,2.5,0.44
"Thistly Cross Traditional Cider","Thistly Cross Cider",Cider,NULL,500,bottle,4.4,2.2,0.44
"Thistly Cross Whisky Cask Cider","Thistly Cross Cider",Cider,NULL,500,bottle,6.9,3.5,0.69
"Thornbridge AM:PM",Thornbridge,Beer,IPA,568,draught,4.5,2.6,0.45
"Thornbridge AM:PM",Thornbridge,Beer,IPA,330,bottle,4.5,1.5,0.45
"Thornbridge Jaipur",Thornbridge,Beer,IPA,330,bottle,5.9,1.9,0.59
"Thornbridge Lukas Helles Lager",Thornbridge,Beer,Lager,568,draught,4.2,2.4,0.42
"Thornbridge Lukas Helles Lager",Thornbridge,Beer,Lager,330,bottle,4.2,1.4,0.42
"Thornbridge Tart Bakewell Sour",Thornbridge,Beer,"Sour Beer",330,bottle,6,2,0.6
Tiger,Tiger,Beer,Lager,568,draught,4.8,2.7,0.48
Tiger,Tiger,Beer,Lager,330,bottle,4.8,1.6,0.48
"Timmermans Peche",Timmermans,Beer,"Fruit Beer",330,bottle,4,1.3,0.4
"Timothy Taylor's Boltmaker","Timothy Taylor's",Beer,Bitter,568,draught,4,2.3,0.4
"Timothy Taylor's Landlord","Timothy Taylor's",Beer,Beer,568,draught,4.3,2.4,0.43
"Tiny Rebel Beatbox","Tiny Rebel",Beer,"Pale Ale",330,bottle,4.5,1.5,0.45
"Tiny Rebel Bo'Ho","Tiny Rebel",Beer,Lager,330,bottle,5,1.7,0.5
"Tiny Rebel Cali","Tiny Rebel",Beer,"Pale Ale",330,can,5.6,1.8,0.56
"Tiny Rebel Clwb Tropicana","Tiny Rebel",Beer,IPA,568,draught,5.5,3.1,0.55
"Tiny Rebel Clwb Tropicana","Tiny Rebel",Beer,IPA,330,can,5.5,1.8,0.55
"Tiny Rebel Cwtch","Tiny Rebel",Beer,"Red Ale",568,draught,4.6,2.6,0.46
"Tiny Rebel Cwtch","Tiny Rebel",Beer,"Red Ale",330,bottle,4.6,1.5,0.46
"Tiny Rebel Cwtch","Tiny Rebel",Beer,"Red Ale",330,can,4.6,1.5,0.46
